Date : 2025-09-02 22:31:55
Directory : d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason
Total : 125 files,  11559 codes, 5719 comments, 2502 blanks, all 19780 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| src\main\java\frc\robot\constants                                                                                                                                                    |          5 |        337 |         18 |         56 |        411 |
| src\main\java\frc\robot\subsystems                                                                                                                                                   |         13 |      2,159 |      1,240 |        514 |      3,913 |
| src\main\java\frc\robot\subsystems (Files)                                                                                                                                           |          1 |          3 |          0 |          3 |          6 |
| src\main\java\frc\robot\subsystems\drive                                                                                                                                             |          7 |        515 |         61 |        132 |        708 |
| src\main\java\frc\robot\subsystems\drivetrain                                                                                                                                        |          5 |      1,641 |      1,179 |        379 |      3,199 |
| src\main\java\frc\robot\utilities                                                                                                                                                    |          5 |        825 |        194 |        159 |      1,178 |
| vendordeps                                                                                                                                                                           |          8 |        877 |          0 |          1 |        878 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                             | language        | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\.wpilib\wpilib_preferences.json                                                          | JSON            |          6 |          0 |          0 |          6 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\README.md                                                                                | Markdown        |          1 |          0 |          0 |          1 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\WPILib-License.md                                                                        | Markdown        |         22 |          0 |          3 |         25 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\build.gradle                                                                             | Groovy          |         90 |         20 |         28 |        138 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\gradle\wrapper\gradle-wrapper.properties                                                 | Java Properties |          7 |          0 |          1 |          8 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\gradlew.bat                                                                              | Batch           |         41 |         32 |         22 |         95 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\networktables.json                                                                       | JSON            |          1 |          0 |          1 |          2 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\settings.gradle                                                                          | Groovy          |         28 |          0 |          3 |         31 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\simgui-ds.json                                                                           | JSON            |         97 |          0 |          1 |         98 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\simgui.json                                                                              | JSON            |         16 |          0 |          1 |         17 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\advantagekit\AlertManager.java                                 | Java            |         18 |         14 |          7 |         39 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\advantagekit\LoggedTracer.java                                 | Java            |         15 |          9 |          5 |         29 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\advantagekit\LoggedTunableNumber.java                          | Java            |         60 |         50 |         22 |        132 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\advantagekit\LoggerHelper.java                                 | Java            |         17 |          7 |          3 |         27 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\advantagekit\NTManager.java                                    | Java            |         78 |         62 |         16 |        156 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\CANDeviceID.java                                      | Java            |         20 |         21 |          8 |         49 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoCANBus.java                                       | Java            |         30 |         33 |          9 |         72 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoCANCoder.java                                     | Java            |        180 |         76 |         47 |        303 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoPigeon2.java                                      | Java            |        200 |        121 |         53 |        374 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoSparkMax.java                                     | Java            |        297 |         18 |         73 |        388 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\hardware\MinoTalonFX.java                                      | Java            |        542 |         20 |        115 |        677 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\AbsoluteEncoderInputs.java                                  | Java            |         12 |          0 |          4 |         16 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\CANBusIO.java                                               | Java            |         15 |          0 |          4 |         19 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\CANRangeIO.java                                             | Java            |         22 |          8 |         12 |         42 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\DigitalDeviceInputs.java                                    | Java            |          6 |          0 |          3 |          9 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\GyroInputs.java                                             | Java            |         19 |          0 |          5 |         24 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\io\MotorInputs.java                                            | Java            |         24 |          0 |          4 |         28 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\localization\Measurement.java                                  | Java            |         55 |         52 |         12 |        119 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\localization\MinoSwerveLocalizer.java                          | Java            |        284 |        101 |         52 |        437 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\localization\SwerveDriveOdometryMeasurement.java               | Java            |         17 |          5 |          5 |         27 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\DoubleInterpolatableTreeMap.java                          | Java            |         38 |          2 |         14 |         54 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\EqualsUtility.java                                        | Java            |         23 |          1 |          5 |         29 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\FieldSpeeds.java                                          | Java            |         18 |         11 |          6 |         35 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\GeometryUtility.java                                      | Java            |         77 |         94 |         23 |        194 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\Interpolatable.java                                       | Java            |         45 |          5 |          8 |         58 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\InterpolateableChassisSpeeds.java                         | Java            |         24 |          0 |          5 |         29 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\math\MathUtility.java                                          | Java            |         91 |         69 |         24 |        184 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\MechanismRatio.java                                    | Java            |         31 |         45 |         10 |         86 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\MinoStatusSignal.java                                  | Java            |         48 |          6 |         15 |         69 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PIDConfiguration.java                                  | Java            |         73 |         22 |         11 |        106 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PhoenixEncoder.java                                    | Java            |          9 |          6 |          6 |         21 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PhoenixGyro.java                                       | Java            |         12 |          9 |         10 |         31 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PhoenixMotor.java                                      | Java            |         29 |         25 |         27 |         81 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\phoenix\PhoenixUtility.java                                    | Java            |        281 |         79 |         48 |        408 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\rev\ClosedLoopConfiguration.java                               | Java            |         37 |          0 |          9 |         46 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\rev\REVAboluteEncoder.java                                     | Java            |          3 |          0 |          3 |          6 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\rev\REVAbsoluteEncoder.java                                    | Java            |          8 |          5 |          5 |         18 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\rev\REVMotorController.java                                    | Java            |         28 |         23 |         26 |         77 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SimulatedSwerveDrivetrain.java                          | Java            |         91 |         50 |         20 |        161 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SwerveDrivetrain.java                                   | Java            |        324 |        320 |         75 |        719 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SwerveDrivetrainConstants.java                          | Java            |         14 |         37 |          4 |         55 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SwerveModule.java                                       | Java            |        251 |        165 |         54 |        470 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SwerveModuleConstants.java                              | Java            |        152 |        382 |         40 |        574 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SwerveModuleConstantsFactory.java                       | Java            |        150 |        338 |         33 |        521 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SwerveRequest.java                                      | Java            |        355 |        516 |         94 |        965 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SysIdSwerveSteerGains_Torque.java                       | Java            |         29 |         19 |          6 |         54 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\SysIdSwerveTranslation_Torque.java                      | Java            |         30 |         21 |          6 |         57 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\MinoSwerve.java                                     | Java            |        403 |         76 |         65 |        544 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\MinoSwerveController.java                           | Java            |         51 |         43 |         11 |        105 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\MinoSwerveDriveSimulation.java                      | Java            |         70 |         31 |         21 |        122 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\MinoSwerveModule.java                               | Java            |        147 |         10 |         32 |        189 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\MinoSwerveModuleFactory.java                        | Java            |         39 |          0 |          6 |         45 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\MinoSwerveModuleSetpointGenerator.java              | Java            |        111 |         30 |         26 |        167 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\MinoSwerveTeleopControl.java                        | Java            |         71 |         31 |         16 |        118 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\SwerveSetpoint.java                                 | Java            |         19 |          0 |          5 |         24 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\old\SwerveSetpointGenerator.java                        | Java            |        191 |        107 |         42 |        340 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\pathplanner\MinoAutoBuilder.java                        | Java            |         52 |         39 |         12 |        103 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\pathplanner\MinoFollowPathCommand.java                  | Java            |         99 |         13 |         26 |        138 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\pathplanner\MinoFollowPathHolonomic.java                | Java            |         83 |         79 |          4 |        166 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\pathplanner\MinoHolonomicDriveController.java           | Java            |        142 |         94 |         34 |        270 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\pathplanner\MinoHolonomicPathFollowerConfiguration.java | Java            |         44 |         64 |          8 |        116 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\swerve\pathplanner\MinoPathFollowingController.java            | Java            |         13 |         27 |          6 |         46 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\CameraInfo.java                                         | Java            |         28 |         33 |          8 |         69 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\CameraInfoStruct.java                                   | Java            |        106 |         47 |         11 |        164 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\MinoPoseEstimator.java                                  | Java            |         13 |         39 |         10 |         62 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\MinoRobotOdometry.java                                  | Java            |         74 |         78 |         25 |        177 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\MinoVisionCamera.java                                   | Java            |         20 |          6 |         12 |         38 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\MinoVisionSimulation.java                               | Java            |         40 |          0 |          9 |         49 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\PhotonVisionCamera.java                                 | Java            |        120 |          5 |         28 |        153 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\PipelineConfiguration.java                              | Java            |         20 |          1 |          3 |         24 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\vision\PipelineVisionPacket.java                               | Java            |         27 |         21 |          7 |         55 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\Fiducial.java                                           | Java            |         56 |          2 |         18 |         76 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\FiducialStruct.java                                     | Java            |         46 |          0 |         12 |         58 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\PIDVController.java                                     | Java            |        200 |        195 |         57 |        452 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\PoseEstimate.java                                       | Java            |         29 |          6 |          9 |         44 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\PoseEstimateStruct.java                                 | Java            |         43 |         22 |         11 |         76 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\ProfiledPIDVController.java                             | Java            |        164 |        248 |         44 |        456 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\RobotTime.java                                          | Java            |          8 |          0 |          2 |         10 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\SysIDRoutineChooser.java                                | Java            |         55 |          0 |         15 |         70 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\minolib\wpilib\VisionResult.java                                       | Java            |         24 |          0 |          6 |         30 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\Main.java                                                        | Java            |          8 |          3 |          5 |         16 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\Robot.java                                                       | Java            |        125 |          9 |         29 |        163 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\RobotContainer.java                                              | Java            |         54 |          3 |         17 |         74 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\command_factories\DriveFactory.java                              | Java            |         75 |          6 |         14 |         95 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\constants\DrivetrainConstants.java                               | Java            |         33 |          0 |         10 |         43 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\constants\ElevatorConstants.java                                 | Java            |         53 |          1 |         12 |         66 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\constants\FieldConstants.java                                    | Java            |        142 |         14 |         16 |        172 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\constants\GlobalConstants.java                                   | Java            |         24 |          3 |         12 |         39 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\constants\VisionConstants.java                                   | Java            |         85 |          0 |          6 |         91 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\LEDSubsystem.java                                     | Java            |          3 |          0 |          3 |          6 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drive\CommandSwerveDrivetrain.java                    | Java            |         17 |         11 |          6 |         34 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drive\DriveIO.java                                    | Java            |         46 |          0 |         20 |         66 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drive\DriveIOHardware.java                            | Java            |        110 |          7 |         26 |        143 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drive\DriveIOSim.java                                 | Java            |         41 |          5 |         13 |         59 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drive\DriveSubsystem.java                             | Java            |        106 |          2 |         27 |        135 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drive\DrivetrainVisualizer.java                       | Java            |         68 |         14 |         16 |         98 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drive\TunerConstants.java                             | Java            |        127 |         22 |         24 |        173 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drivetrain\DrivetrainConfiguration.java               | Java            |        260 |        484 |         87 |        831 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drivetrain\DrivetrainIO.java                          | Java            |         91 |        113 |         29 |        233 |
| d:\ultimate-hecker\Websites-and-Coding-Projects\MiddletonRobotics\FRCMinotaur2025-Offseason\src\main\java\frc\robot\subsystems\drivetrain\DrivetrainIOCTRE.java                      | Java            |        564 |         47 |         89 |        700 |
